County,Voters,Avg_P_vote,Risk_raw,Risk_scaled
graham,5438,0.96326965,0.96326965,1.0
mitchell,10914,0.96316355,0.96316355,0.997899
wilkes,38012,0.96297765,0.96297765,0.99421746
alexander,24950,0.9628005,0.9628005,0.9907094
mcdowell,27669,0.9627276,0.9627276,0.98926586
yadkin,20900,0.96212006,0.96212006,0.97723454
burke,54848,0.9602414,0.9602414,0.94003105
ashe,17940,0.9590556,0.9590556,0.91654915
avery,10389,0.9581873,0.9581873,0.89935374
haywood,45166,0.95726466,0.95726466,0.8810831
caldwell,52724,0.9567923,0.9567923,0.8717288
yancey,13946,0.956771,0.956771,0.87130743
stanly,42116,0.9567298,0.9567298,0.8704918
macon,26303,0.9563492,0.9563492,0.8629541
alleghany,7758,0.9563021,0.9563021,0.86202157
henderson,87976,0.95596063,0.95596063,0.85525936
randolph,88391,0.95543206,0.95543206,0.844792
catawba,106151,0.95520943,0.95520943,0.84038335
rutherford,40022,0.95514673,0.95514673,0.83914167
stokes,29638,0.95504594,0.95504594,0.8371457
clay,9069,0.95401174,0.95401174,0.8166654
transylvania,26320,0.95391864,0.95391864,0.81482166
cherokee,19648,0.95385253,0.95385253,0.8135127
surry,44261,0.95370746,0.95370746,0.8106397
carteret,56158,0.9536887,0.9536887,0.81026787
madison,16281,0.9535811,0.9535811,0.80813736
moore,73800,0.95321435,0.95321435,0.80087465
dare,29561,0.95287544,0.95287544,0.79416317
gates,6259,0.9521308,0.9521308,0.77941704
sampson,33611,0.95210654,0.95210654,0.7789366
polk,16443,0.95190245,0.95190245,0.7748951
rowan,88376,0.9518114,0.9518114,0.7730915
lincoln,65834,0.95180756,0.95180756,0.773016
iredell,130420,0.9517676,0.9517676,0.77222514
camden,7064,0.95159334,0.95159334,0.7687738
cleveland,61598,0.9513235,0.9513235,0.76343036
davidson,105960,0.95091534,0.95091534,0.7553473
currituck,16915,0.95089436,0.95089436,0.7549318
richmond,23693,0.9506908,0.9506908,0.7509009
swain,8694,0.95033616,0.95033616,0.7438778
columbus,29662,0.9503306,0.9503306,0.74376804
davie,31758,0.95017385,0.95017385,0.7406637
person,26167,0.9493342,0.9493342,0.7240361
gaston,145984,0.9492926,0.9492926,0.7232122
rockingham,57016,0.9490747,0.9490747,0.71889687
pamlico,9725,0.9467988,0.9467988,0.67382747
hyde,2147,0.9465976,0.9465976,0.6698426
duplin,25499,0.94638085,0.94638085,0.6655508
bladen,20751,0.94635904,0.94635904,0.6651188
beaufort,31289,0.9459782,0.9459782,0.6575776
craven,71131,0.9456063,0.9456063,0.65021217
greene,9956,0.9446357,0.9446357,0.63099134
pender,48788,0.94454515,0.94454515,0.6291984
chowan,9838,0.94416934,0.94416934,0.62175626
montgomery,14569,0.9440235,0.9440235,0.61886793
caswell,13398,0.94365704,0.94365704,0.6116111
wayne,69443,0.943602,0.943602,0.6105217
brunswick,133222,0.94354194,0.94354194,0.60933185
jones,5954,0.94324106,0.94324106,0.60337347
union,171907,0.94243956,0.94243956,0.5875012
martin,13178,0.9419707,0.9419707,0.5782166
onslow,98896,0.9413686,0.9413686,0.5662927
perquimans,9406,0.9410718,0.9410718,0.56041574
johnston,147075,0.9407301,0.9407301,0.55364877
alamance,106465,0.94071496,0.94071496,0.55334896
robeson,51239,0.94047594,0.94047594,0.54861575
cabarrus,144738,0.94046384,0.94046384,0.54837614
scotland,18095,0.93906456,0.93906456,0.5206662
wilson,49271,0.9389582,0.9389582,0.51856047
lenoir,35041,0.9384963,0.9384963,0.5094127
washington,7203,0.9383997,0.9383997,0.50749934
tyrrell,1952,0.93763125,0.93763125,0.49228227
franklin,50676,0.93761164,0.93761164,0.49189395
northampton,11028,0.93757933,0.93757933,0.49125418
lee,38041,0.9374921,0.9374921,0.48952615
jackson,30602,0.9369493,0.9369493,0.47877786
nash,64588,0.9369153,0.9369153,0.47810388
chatham,66847,0.9368743,0.9368743,0.4772918
bertie,10956,0.9359531,0.9359531,0.45904946
wake,812447,0.9358689,0.9358689,0.4573828
harnett,79304,0.93582505,0.93582505,0.45651406
halifax,28958,0.93510836,0.93510836,0.4423215
hertford,12077,0.9350759,0.9350759,0.44167823
mecklenburg,755112,0.93502754,0.93502754,0.44072095
pasquotank,25145,0.9347575,0.9347575,0.43537277
pitt,114478,0.933947,0.933947,0.41932353
granville,40157,0.9337021,0.9337021,0.41447347
cumberland,186066,0.93306524,0.93306524,0.40186143
watauga,50927,0.9327993,0.9327993,0.39659467
forsyth,262474,0.93222046,0.93222046,0.38513228
guilford,367312,0.9318471,0.9318471,0.37773857
vance,25729,0.9307028,0.9307028,0.35507816
warren,12385,0.9305676,0.9305676,0.35240114
hoke,29514,0.9233588,0.9233588,0.20964466
edgecombe,31217,0.9188537,0.9188537,0.12043012
anson,12411,0.9184254,0.9184254,0.11194811
orange,131729,0.9181162,0.9181162,0.105825625
durham,266377,0.9127723,0.9127723,0.0
